product_id,category,primary_materials,length_cm,width_cm,height_cm,weight_kg,region,season,complexity_score,labour_hours,artisan_hourly_wage_inr,raw_material_cost_inr,calculated_cost_floor_inr,historical_sale_price_inr
CRAFT-1000,Bamboo & cane,"Bamboo, Cane, Natural fibers",36.2,48.0,30.6,1.88,"Bastar, Chhattisgarh",Wedding,3,5,75,89.0,464,836
CRAFT-1001,Bamboo & cane,"Bamboo, Cane, Natural fibers",11.4,48.8,34.1,0.79,"Bastar, Chhattisgarh",Monsoon,2,2,60,95.46,215,300
CRAFT-1002,Terracotta clay,"Natural clay, Natural colors",19.1,25.7,31.6,1.81,"Kondagaon, Chhattisgarh",Festive,7,11,120,275.79,1596,2976
CRAFT-1003,Tribal handloom,"Cotton, Silk, Organic dyes",168.4,105.0,0.2,0.92,"Kondagaon, Chhattisgarh",Monsoon,9,37,60,1644.07,3864,6155
CRAFT-1004,Terracotta clay,"Natural clay, Natural colors",28.2,15.1,13.3,4.77,"Dumka, Jharkhand",Wedding,5,9,75,389.0,1064,2137
CRAFT-1005,Dokra bell metal,"Brass, Bell metal, Beeswax",22.1,11.6,13.7,2.23,"Bastar, Chhattisgarh",Festive,9,21,90,341.27,2231,5380
CRAFT-1006,Dokra bell metal,"Brass, Bell metal, Beeswax",11.5,14.9,19.4,2.32,"Mandla, Madhya Pradesh",Festive,9,49,60,956.05,3896,8562
CRAFT-1007,Tribal handloom,"Cotton, Silk, Organic dyes",113.3,63.7,0.1,0.69,"Bastar, Chhattisgarh",Wedding,9,76,90,1216.22,8056,17539
CRAFT-1008,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",86.3,24.3,24.0,5.88,"Kondagaon, Chhattisgarh",Festive,4,24,90,340.92,2501,4797
CRAFT-1009,Bamboo & cane,"Bamboo, Cane, Natural fibers",10.4,42.6,29.7,2.24,"Kondagaon, Chhattisgarh",Festive,5,6,100,242.82,843,1549
CRAFT-1010,Dokra bell metal,"Brass, Bell metal, Beeswax",14.0,6.7,35.9,2.68,"Kondagaon, Chhattisgarh",Wedding,8,28,90,697.08,3217,6058
CRAFT-1011,Bamboo & cane,"Bamboo, Cane, Natural fibers",61.1,35.5,36.1,1.52,"Kondagaon, Chhattisgarh",Off-season,3,9,100,79.9,980,1436
CRAFT-1012,Dokra bell metal,"Brass, Bell metal, Beeswax",24.0,13.4,33.1,2.23,"Kondagaon, Chhattisgarh",Wedding,6,29,60,927.28,2667,5354
CRAFT-1013,Dokra bell metal,"Brass, Bell metal, Beeswax",12.9,12.6,37.2,1.37,"Dumka, Jharkhand",Wedding,6,28,120,792.46,4152,8720
CRAFT-1014,Dokra bell metal,"Brass, Bell metal, Beeswax",10.7,6.2,18.7,1.06,"Kondagaon, Chhattisgarh",Monsoon,9,56,100,1415.64,7016,14682
CRAFT-1015,Terracotta clay,"Natural clay, Natural colors",34.1,15.6,54.6,2.93,"Mandla, Madhya Pradesh",Off-season,4,13,120,338.38,1898,3249
CRAFT-1016,Tribal handloom,"Cotton, Silk, Organic dyes",147.7,57.7,0.2,0.81,"Dumka, Jharkhand",Wedding,6,28,120,2117.83,5478,11914
CRAFT-1017,Tribal handloom,"Cotton, Silk, Organic dyes",162.6,65.5,0.1,0.71,"Bastar, Chhattisgarh",Festive,5,29,75,2380.11,4555,8468
CRAFT-1018,Tribal handloom,"Cotton, Silk, Organic dyes",177.8,99.2,0.2,1.47,"Bastar, Chhattisgarh",Monsoon,8,58,100,2421.14,8221,12856
CRAFT-1019,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",42.8,11.5,40.5,5.52,"Mandla, Madhya Pradesh",Festive,9,17,120,251.48,2291,4947
CRAFT-1020,Dokra bell metal,"Brass, Bell metal, Beeswax",27.7,8.6,14.3,2.21,"Mandla, Madhya Pradesh",Festive,8,42,75,1482.78,4633,10144
CRAFT-1021,Tribal handloom,"Cotton, Silk, Organic dyes",135.6,101.0,0.2,1.06,"Bastar, Chhattisgarh",Wedding,9,68,75,1730.41,6830,16146
CRAFT-1022,Woodcraft & carving,"Teak wood, Sal wood, Natural polish",27.2,43.4,26.0,2.68,"Bastar, Chhattisgarh",Wedding,9,42,120,240.78,5281,11219
